hotel_id,address,rank,phone,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible,amenities,hotel_class
504,"149-151 Rama 4 Road, None, Bangkok 10400, Thailand",#143,,39,12,3,1,1,Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Family Rooms | Non-smoking rooms,20
505,"6/1 Sukhumvit Soi 31, Sukhumvit Road Klongtonnua, Wattana, Bangkok, Thailand",#97,,77,170,76,22,23,Pool | Free High Speed Internet (WiFi) | Room service | Free parking | Restaurant | Fitness Center with Gym / Workout Room | Bar/Lounge | Laundry Service | Multilingual Staff | Outdoor pool | Wheelchair access | Air conditioning | Non-smoking rooms,40
506,"580 Soi Si Yan 1, Nakhon Chai SI Road, Dusit, Bangkok 10300, Thailand",#159,,57,58,20,3,4,Pool | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Concierge | Laundry Service | Non-smoking hotel | Outdoor pool | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,30
507,"336, Maharaj Road, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",#167,,34,43,14,2,1,Restaurant | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Non-smoking hotel | Air conditioning | Family Rooms | Non-smoking rooms,30
508,"1990 New Petchaburi Road, Bang Kapi, Huai Khwang, Bangkok 10310, Thailand",#323,,39,22,6,4,1,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Breakfast Available | Dry Cleaning | Laundry Service | Meeting rooms | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Air conditioning | Minibar | Non-smoking rooms | Suites,40
509,"578 Soi Suanplu 3, Sathon Rd, South Sathon road, Bangkok 10120, Thailand",#100,,33,17,5,0,2,Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms,30
510,"595 soi Petchaburi 11, Petchaburi Rd, Rajthavee, Bangkok 10400, Thailand",#79,,102,47,10,1,4,Free High Speed Internet (WiFi) | Breakfast included | Free parking | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
511,"99, Ratchadamri Road, Lumphini, Bangkok 10330, Thailand",#340,02 655 5555,191,291,162,46,35,Pool | Restaurant | Room service | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Indoor pool | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms | Smoking rooms available | Suites,40
512,"39 Rangnam Road Rajprarop, None, Bangkok 10400, Thailand",#328,,74,57,25,3,2,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Breakfast included | Room service | Banquet Room | Breakfast Available | Concierge | Conference Facilities | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Wheelchair access | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,30
513,"69/4-8 Soi Wat Rakang, Arun Amrin Rd, None, Bangkok 10700, Thailand",#377,,31,21,17,3,1,Pool | Free High Speed Internet (WiFi) | Room service | Free parking | Restaurant | Airport transportation | Babysitting | Breakfast Available | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Kitchenette | Non-smoking rooms | Suites,40
514,"41 Soi 4 Sukhumvit Road, Klongtoey, Bangkok 10110, Thailand",#352,,433,1191,433,101,72,Restaurant | Free parking | Free High Speed Internet (WiFi) | Bar/Lounge | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Pets Allowed ( Dog / Pet Friendly ) | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Non-smoking rooms,30
515,"21, Sukhumvit Soi 10, Sukhumvit Road, Klongtoey, Bangkok 10110, Thailand",#333,,559,796,302,94,60,Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Pool | Room service | Free parking | Restaurant | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Meeting rooms | Outdoor pool | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms | Smoking rooms available,40
516,"4/41-47 Soi Petchburi 19, Petchburi Rd, Pratunam, Bangkok 10400, Thailand",#360,,46,172,86,23,9,Free High Speed Internet (WiFi) | Restaurant | Room service | Airport transportation | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,30
517,"133/48 Ratchaprarop Soi 12, Ratchaprarop Road, Makkasan, Ratchathewi, Bangkok 10400, Thailand",#324,,134,237,111,31,20,Free High Speed Internet (WiFi) | Restaurant | Free parking | Room service | Breakfast included | Airport transportation | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms,30
518,"None, None, NoneNone",,,66,155,89,19,12,Pool | Free parking | Free High Speed Internet (WiFi) | Restaurant | Bar/Lounge | Spa | Concierge | Non-smoking hotel | Outdoor pool | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,35
519,"507/48,Soi Si Ayutthaya 8, Rajthevee, Bangkok 10400, Thailand",#375,,37,71,17,5,9,Pool | Restaurant | Free High Speed Internet (WiFi) | Breakfast included | Free parking | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Air conditioning | Refrigerator in room | Non-smoking rooms,30
520,"422 Mittphan Road, Pom Prab, Pomprab, Pomprabsattrupai, Bangkok 10100, Thailand",#335,02 069 6999,22,20,3,1,0,Free High Speed Internet (WiFi) | Air conditioning | Non-smoking rooms,30
521,"56 Trok Rong Mai, Chao Fa Road, Chanasongkram, Pranakorn, Bangkok 10200, Thailand",#138,,84,130,57,17,12,Pool | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Outdoor pool | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,30
522,"88 Soi Phetchaburi 15, Phetchaburi Road,, Ratchathewi, Bangkok 10400, Thailand",#364,,44,44,18,4,3,Free High Speed Internet (WiFi) | Free parking | Restaurant | Airport transportation | Breakfast Available | Concierge | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms,30
523,"5/4-5/5 Sukhumvit 71 Road, Phra Khanong-Nua, Wattana, None, Bangkok 10110, Thailand",#376,02 178 0077,40,57,12,5,7,Free parking | Free High Speed Internet (WiFi) | Pool | Restaurant | Banquet Room | Breakfast Available | Dry Cleaning | Laundry Service | Meeting rooms | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,30
524,"22 Soi Petchaburi 13, Phayathai, Ratchathewi, Bangkok 10400, Thailand",#98,,41,52,21,4,6,Free High Speed Internet (WiFi) | Concierge | Multilingual Staff | Non-smoking hotel | Public Wifi | Shuttle Bus Service | Air conditioning | Refrigerator in room | Non-smoking rooms,30
525,"117 Soi Chunladit, Thanonphayathai, Ratchathewi, Bangkok 10400, Thailand",#362,,251,521,233,85,51,Restaurant | Free High Speed Internet (WiFi) | Airport transportation | Babysitting | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Sauna | Air conditioning | Non-smoking rooms,30
526,"5/12 Saladaeng Rd., Silom, Bangkok 10500, Thailand",#319,,74,131,50,10,10,Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,30
527,"None, None, NoneNone",,,50,36,14,1,1,Free High Speed Internet (WiFi) | Free parking | Restaurant | Bar/Lounge | Breakfast included | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,30
528,"55/5-6, Phayathai Rd, Thanon Phaya Thai, Rachathewi, Bangkok 10400, Thailand",#160,,20,5,0,0,0,Bar/Lounge | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,25
529,"5/3-6 Wireless Rd., Lumpini, Bangkok 10330, Thailand",#90,,51,43,10,1,3,Free High Speed Internet (WiFi) | Restaurant | Breakfast included | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Suites,30
530,"4 Samsen Road, Banglampoo, Phranakorn, Bangkok, Thailand",#330,,64,150,82,16,8,Restaurant | Free High Speed Internet (WiFi) | Airport transportation | Concierge | Dry Cleaning | Hot Tub | Laundry Service | Non-smoking hotel | Paid Wifi | Self-Serve Laundry | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,30
531,"188/1, Naradhiwas Rajanagarindra Road, Silom, Bangkok 10500, Thailand",#342,,65,88,29,7,12,Pool | Free High Speed Internet (WiFi) | Free parking | Restaurant | Airport transportation | Breakfast Available | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
532,"28-28/1 Sukhumvit Soi-19, Soi Wattana, Bangkok 10110, Thailand",#88,,230,103,70,39,27,Free High Speed Internet (WiFi) | Free parking | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,20
533,"2-2/2 Soi Sukhumvit 18, Klong toey, None, Bangkok 10110, Thailand",#164,,21,4,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Non-smoking hotel | Air conditioning,20
534,"16 / 11 Silom Soi 3, Silom, Bangrak, Bangkok 10500, Thailand",#91,,61,56,21,4,3,Free High Speed Internet (WiFi) | Airport transportation | Laundry Service | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
535,"39/22-23 Phethburi Road, Soi 15 Ratchathewi, Bangkok 10400, Thailand",#92,,47,102,38,4,9,Free High Speed Internet (WiFi) | Breakfast included | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,30
536,"92 Soi Saengcham, Rama 9 Road, Huay Kwang, Bangkok 10320, Thailand",#346,,150,233,109,29,17,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Free parking | Bar/Lounge | Free High Speed Internet (WiFi) | Spa | Airport transportation | Babysitting | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Family Rooms | Non-smoking rooms | Suites,40
537,"642/6-9 Soi Suanplu 7, Suanplu Road, Tungmahamek, Sathorn, None, Bangkok 10120, Thailand",#371,,38,26,7,4,2,Room service | Free High Speed Internet (WiFi) | Non-smoking hotel | Air conditioning | Refrigerator in room | Non-smoking rooms,25
538,"466 Soi Sor Thoranin 4, Huai Khwang, Bangkok 10310, Thailand",#83,,33,6,1,0,1,Pool | Free parking | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Breakfast Available | Children Activities (Kid / Family Friendly) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Shuttle Bus Service | Air conditioning | Microwave | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,30
539,"678 Chareon Nakorn 14 Alley , Chareon Nakorn Road, Khlong San, Bangkok 10600, Thailand",#140,,,,,,,,
540,"28/2 Sukhumvit 69, None, Bangkok, Thailand",#169,,21,0,0,0,0,Free High Speed Internet (WiFi) | Breakfast included | Room service | Bar/Lounge | Air conditioning | Kitchenette,20
541,"27, Sukhumvit 55 ,Sukhumvit Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",#334,,34,16,6,4,0,Room service | Free High Speed Internet (WiFi) | Air conditioning,40
542,"42 Soi Udomsuk 4, Suthisanvinichai Road., Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",#372,,,,,,,,
543,"372 Rama III Road, Bang Khlo, Bangkok 10120, Thailand",#337,,208,355,170,38,29,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free parking | Bar/Lounge | Free Internet | Spa | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Paid Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Family Rooms | Non-smoking rooms | Suites,50
544,"8/8, Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",#363,,59,176,70,23,10,Free High Speed Internet (WiFi) | Pool | Fitness Center with Gym / Workout Room | Room service | Free parking | Restaurant | Bar/Lounge | Airport transportation | Banquet Room | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Smoking rooms available | Suites,40
545,"25 Sukhumvit Soi 23, Sukhumvit Road, Khet Watthana, Bangkok 10110, Thailand",#357,,105,317,111,21,11,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Free High Speed Internet (WiFi) | Bar/Lounge | Breakfast included | Free parking | Spa | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms | Suites,35
546,"2 Eakamai 6 Sukhumvit 63, Phra Kanong Nua, Wattana, Bangkok 10110, Thailand",#332,,58,52,20,5,5,Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Laundry Service | Non-smoking hotel | Shuttle Bus Service | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,30
547,"68 South Sathorn 1 Road, None, Bangkok 10120, Thailand",#341,,203,286,114,36,21,Pool | Restaurant | Room service | Free parking | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Bar/Lounge | Breakfast included | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms | Suites,40
548,"None, None, NoneNone",,,467,200,72,25,16,Free High Speed Internet (WiFi) | Pool | Room service | Free parking | Restaurant | Fitness Center with Gym / Workout Room | Airport transportation | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Suites,40
549,"50, 50/1 Soi Sukhumvit 8, Sukhumvit Rd., Klongtoey, Bangkok 10110, Thailand",#339,,194,252,79,21,17,Restaurant | Room service | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Babysitting | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Shuttle Bus Service | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms,35
550,"2074/99 Soi Charoenkrung 72/2, Bangkorlaem, Bangkok 10120, Thailand",#148,,79,52,24,6,13,Room service | Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Pool | Breakfast Available | Concierge | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Kitchenette | Non-smoking rooms | Suites,35
551,"77-88 Ratchadapisek Rd, Dindaeng, Bangkok 10407, Thailand",#366,,157,344,58,15,10,Pool | Restaurant | Fitness Center with Gym / Workout Room | Free parking | Free High Speed Internet (WiFi) | Room service | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Outdoor pool | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Microwave | Refrigerator in room | Kitchenette | Non-smoking rooms | Suites,40
552,"984/22-27, Soi Pridipanomyong 40, Sukhumvit 71 Road, Prakanong, Wattana, Bangkok 10110, Thailand",#322,02 391 6498,95,79,29,10,6,Free parking | Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Room service | Spa | Fitness Center with Gym / Workout Room | Business Center with Internet Access | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Wheelchair access | Air conditioning | Family Rooms | Kitchenette | Non-smoking rooms | Suites,30
553,"25/2 Somdet Phrachao Taksin Soi 6, Bang Yi Ruea, Thonburi, Bangkok 10600, Thailand",#355,,48,11,8,4,1,Free parking | Free High Speed Internet (WiFi) | Breakfast included | Breakfast Available | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,35
554,"413/6-7, Mahaphruttharam Road, None, Bangkok 10500, Thailand",#144,,32,3,0,0,1,Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning | Family Rooms,20
555,"None, None, NoneNone",,,34,149,48,12,1,Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,30
556,"1/11-12 Sukhumvit 10, None, Bangkok 10100, Thailand",#82,,72,172,55,12,9,Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Minibar | Non-smoking rooms,30
557,"84 Rambuttri st, Banglumpoo, Bangkok 10200, Thailand",#76,,188,202,147,65,72,Restaurant | Free High Speed Internet (WiFi) | Non-smoking hotel | Public Wifi | Air conditioning | Non-smoking rooms,25
558,"1/38 Soi Petchburi 19 , Thanon Phyathai, Rajathevi, None, Bangkok 10400, Thailand",#80,,37,34,9,0,0,Free High Speed Internet (WiFi) | Room service | Concierge | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
559,"26 Srinakarin 59 Road, Nongbon, Prawet, Bangkok 10250, Thailand",#361,,85,88,8,2,0,Pool | Room service | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Spa | Concierge | Dry Cleaning | Hot Tub | Laundry Service | Non-smoking hotel | Outdoor pool | Sauna | Self-Serve Laundry | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms | Suites,45
560,"235-239 Sathorn Tai Road, Yannawa, Sathorn, Bangkok 10120, Thailand",#147,,49,18,7,3,0,Free High Speed Internet (WiFi) | Breakfast included | Restaurant | Concierge | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms,30
561,"1761-1763 Sukhumvit Road, Prakanong Nuea, Wattana, Bangkok 10110, Thailand",#131,,39,15,4,1,0,Free High Speed Internet (WiFi) | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Air conditioning | Kitchenette | Non-smoking rooms,20
562,"191 Soi 42, Soi Sukhumvit 73, None, Bangkok, Thailand",#149,,71,43,13,4,0,Pool | Restaurant | Free parking | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Air conditioning | Non-smoking rooms,30
563,"262 Krungthonburi Road, Klongtonsai, Klongsarn, Bangkok 10600, Thailand",#173,,35,7,0,0,0,Free High Speed Internet (WiFi) | Breakfast included | Restaurant | Bar/Lounge | Airport transportation | Breakfast Available | Concierge | Laundry Service | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Family Rooms | Non-smoking rooms,20
564,"5 Soi14, Rama II Road,, Bang Mot, Chom Thong, Bangkok 10150, Thailand",#84,,46,5,4,0,1,Free parking | Free High Speed Internet (WiFi) | Airport transportation | Laundry Service | Non-smoking hotel | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms | Smoking rooms available,30
565,"21/10 Sukhumvit 4, Khlongtoey, Bangkok 10110, Thailand",#174,,61,64,17,4,8,Free High Speed Internet (WiFi) | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Self-Serve Laundry | Air conditioning | Family Rooms | Non-smoking rooms,25
566,"5/7 Decho Road, Suriyawong, Bangrak, Bangkok 10500, Thailand",#141,,58,44,7,5,2,Free High Speed Internet (WiFi) | Breakfast included | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Family Rooms | Non-smoking rooms,20
567,"9 Phrasumen Rd., Pom Phrasumen , Phranakorn, Bangkok 10200, Thailand",#96,,57,120,65,15,13,Free High Speed Internet (WiFi) | Restaurant | Multilingual Staff | Non-smoking hotel | Air conditioning | Non-smoking rooms,20
568,"104 Soi Phraeng Phuthon, Tanao Road, San Chao Pho Sua, Phra Nakhon, Bangkok 10200, Thailand",#87,,23,8,0,0,0,Free High Speed Internet (WiFi) | Breakfast Available | Non-smoking hotel | Air conditioning,30
569,"9/10 Sukhumvit Soi 19, Klongteoy Nuea, Watthana, Bangkok 10110, Thailand",#93,,34,51,17,2,1,Free High Speed Internet (WiFi) | Room service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,30
570,"618 / 6 - 7 Soi Panurangsri, Songwad Road, Taladnoi, Samphantawongs, Bangkok 10100, Thailand",#99,,29,46,11,0,2,Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,25
571,"191 Soi 42, Soi Sukhumvit 73, None, Bangkok, Thailand",#149,,71,43,13,4,0,Pool | Restaurant | Free parking | Bar/Lounge | Free High Speed Internet (WiFi) | Room service | Airport transportation | Laundry Service | Non-smoking hotel | Outdoor pool | Air conditioning | Non-smoking rooms,30
572,"84/1-2 Phrasumen Rd., Chanasongkram, Phranakorn, Bangkok 10200, Thailand",#77,,61,57,23,2,5,Free High Speed Internet (WiFi) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Non-smoking rooms,30
573,"90/16 Soi Ram Butri, None, Bangkok 10200, Thailand",#157,,40,1,2,2,1,Bar/Lounge | Breakfast included | Free High Speed Internet (WiFi) | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Non-smoking rooms,20
574,"578 Soi Suanplu 3, Sathon Rd, South Sathon road, Bangkok 10120, Thailand",#100,,33,17,5,0,2,Free High Speed Internet (WiFi) | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms,30
575,"262 Krungthonburi Road, Klongtonsai, Klongsarn, Bangkok 10600, Thailand",#173,,35,7,0,0,0,Free High Speed Internet (WiFi) | Breakfast included | Restaurant | Bar/Lounge | Airport transportation | Breakfast Available | Concierge | Laundry Service | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Family Rooms | Non-smoking rooms,20
576,"5 Soi14, Rama II Road,, Bang Mot, Chom Thong, Bangkok 10150, Thailand",#84,,46,5,4,0,1,Free parking | Free High Speed Internet (WiFi) | Airport transportation | Laundry Service | Non-smoking hotel | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Microwave | Refrigerator in room | Non-smoking rooms | Smoking rooms available,30
577,"50/32 Thanon Pan, Silom, Bangrak, Bangkok 10500, Thailand",#161,,,,,,,,
578,"31-33-35-37-37/1 Lan Luang Road, Wat Sommanat, Pomprab Sattru Phai, Bangkok 10100, Thailand",#102,,21,4,0,0,0,Free High Speed Internet (WiFi) | Breakfast included | Free parking | Airport transportation | Breakfast Available | Concierge | Hot Tub | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Suites,35
579,"368/1-3 Rama 4 Road, Mahaprutharam, Bangkok 10500, Thailand",#134,,35,20,3,2,0,Free High Speed Internet (WiFi) | Restaurant | Bar/Lounge | Dry Cleaning | Laundry Service | Non-smoking hotel | Air conditioning | Family Rooms | Non-smoking rooms,25
580,"497/14-15 Phetchaburi Road, None, Bangkok 10400, Thailand",#153,,44,5,0,0,0,Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Laundry Service | Non-smoking hotel | Air conditioning | Family Rooms | Kitchenette | Non-smoking rooms,20
581,"46-48 Soi 14/1 Charoen Nakorn Road, Near Taksin Bridge, Near ICON SIAM, Thonburi Side of Chao Pharya River Khlongsan, Bangkok 10600, Thailand",#146,062 868 5888,80,56,18,4,3,Free High Speed Internet (WiFi) | Airport transportation | Breakfast Available | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Pets Allowed ( Dog / Pet Friendly ) | Public Wifi | Self-Serve Laundry | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms,25
582,"None, None, NoneNone",,,58,44,7,5,2,Free High Speed Internet (WiFi) | Breakfast included | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Family Rooms | Non-smoking rooms,20
583,"196, Samsen Soi 2, Samsen Road, Ban Phan Thom, Phra Na Khon, Bangkok 10200, Thailand",#155,,33,4,2,0,1,Bar/Lounge | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Family Rooms | Non-smoking rooms,10
584,"9 Phrasumen Rd., Pom Phrasumen , Phranakorn, Bangkok 10200, Thailand",#96,,57,120,65,15,13,Free High Speed Internet (WiFi) | Restaurant | Multilingual Staff | Non-smoking hotel | Air conditioning | Non-smoking rooms,20
585,"466 Soi Sor Thoranin 4, Huai Khwang, Bangkok 10310, Thailand",#83,,33,6,1,0,1,Pool | Free parking | Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Breakfast Available | Children Activities (Kid / Family Friendly) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Shuttle Bus Service | Air conditioning | Microwave | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,30
586,"69/73 Phayathai Road, Ratchathewi, Bangkok 10400, Thailand",#162,,50,26,2,3,2,Free High Speed Internet (WiFi) | Breakfast included | Airport transportation | Dry Cleaning | Non-smoking hotel | Air conditioning | Family Rooms,20
587,"21/10 Sukhumvit 4, Khlongtoey, Bangkok 10110, Thailand",#174,,,,,,,,
588,"8/11 Krung Kasem Road, Wat Samphraya, Phranakorn, Bangkok 10200, Thailand",#129,,50,13,2,0,0,Free High Speed Internet (WiFi) | Non-smoking hotel | Air conditioning | Family Rooms | Non-smoking rooms,30
589,"None, None, NoneNone",,,59,26,9,3,3,Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Air conditioning | Family Rooms | Non-smoking rooms,20
